"","core.id","Sample.Tree","plot","core.x","core.y","soil.mass","dry.mass","sample.id","soil.dry.mass.conv","nh.con","no.con","core.id.mrg"
"122","LEPP_T_1.2","LEPP _ 1","LEPP",32.01151464,17.30195837,5.15,2.99918228036667,1.2,0.582365491333333,1141.6545,201.2822,"LEPP _T_ 1.2"
"123","LEPP_T_1.3","LEPP _ 1","LEPP",30.86787159,17.72460812,5.12,2.98171131562667,1.3,0.582365491333333,1182.712,143.85665,"LEPP _T_ 1.3"
"124","LEPP_T_10.1","LEPP _ 10","LEPP",30.79249469,88.85118509,5.03,3.07779408979,10.1,0.611887493,1117.0815,176.6712,"LEPP _T_ 10.1"
"125","LEPP_T_10.2","LEPP _ 10","LEPP",31.49600026,89.84699237,5.01,3.06555633993,10.2,0.611887493,1810.647,13.60995,"LEPP _T_ 10.2"
"126","LEPP_T_10.3","LEPP _ 10","LEPP",32.64695796,90.24929651,5.03,3.07779408979,10.3,0.611887493,1192.8485,90.6024,"LEPP _T_ 10.3"
"127","LEPP_T_11.1","LEPP _ 11","LEPP",29.97438116,93.45652084,5.17,3.24000196212,11.1,0.626692836,1546.903,70.99705,"LEPP _T_ 11.1"
"128","LEPP_T_11.2","LEPP _ 11","LEPP",32.24022632,93.96612388,4.92,3.08332875312,11.2,0.626692836,1312.1825,220.2306,"LEPP _T_ 11.2"
"129","LEPP_T_11.3","LEPP _ 11","LEPP",31.18885052,93.34874137,5.03,3.15226496508,11.3,0.626692836,2009.5015,113.7073,"LEPP _T_ 11.3"
"130","LEPP_T_12.1","LEPP _ 12","LEPP",22.69329891,91.9259895,4.94,3.13188416112,12.1,0.633984648,1074.565,0,"LEPP _T_ 12.1"
"131","LEPP_T_12.2","LEPP _ 12","LEPP",23.65369127,91.17485785,5.09,3.22698185832,12.2,0.633984648,1022.2715,15.9353,"LEPP _T_ 12.2"
"132","LEPP_T_12.3","LEPP _ 12","LEPP",21.47525029,91.97993206,4.85,3.0748255428,12.3,0.633984648,1558.9925,137.3892,"LEPP _T_ 12.3"
